ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic46:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 943661000, 72062010113000000, 112, 14000, 97078000
nic47:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 4064704, 108884319630, 756, 226, 55246
nic47:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic47:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic47:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 906560000, 69309010208000000, 109, 18000, 89926000
nic48:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 3471734, 27477284798, 756, 146, 20254
nic48:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic48:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic48:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1155010000, 120192782714000000, 69, 10000, 114254000
nic49:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2719989, 22931311085, 756, 142, 24478
nic49:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic49:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic49:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1065290000, 90232514356000000, 107, 2000, 106622000
nic50:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2841212, 20787702248, 756, 158, 19422
nic50:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic50:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic50:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1115588000, 107181876640000000, 121, 6000, 111966000
nic51:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 5333666, 92057251480, 756, 226, 33662
nic51:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic51:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic51:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1012110000, 84658914564000000, 122, 8000, 111406000
nic52:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 7450237, 170424680889, 756, 237, 33979
nic52:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic52:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic52:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1073909000, 101468346317000000, 123, 10000, 121150000
nic53:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 4645515, 100142983023, 735, 304, 49918
nic53:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 5873000, 94002305600, 735, 360, 16384
nic53:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic53:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1035524000, 50246348608000000, 157, 10000, 73478000
nic0:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 24502, 4818220, 273, 64, 1102
nic0:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2181400, 34915142080, 273, 360, 16384
nic0:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 705264000, 45930993664000000, 23, 18000, 76612000
nic1:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 326054, 458026826, 756, 62, 4974
nic1:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic1:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 648974000, 18121205108000000, 158, 6000, 48670000
nic2:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 487501, 1462753369, 756, 61, 16398
nic2:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic2:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 630474000, 14218032420000000, 155, 6000, 43022000
nic3:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2078122, 10750555570, 756, 221, 16126
nic3:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic3:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 637021000, 9688719463000000, 166, 2000, 33094000
nic4:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2315332, 16748792492, 756, 222, 17246
nic4:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic4:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic4:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 646906000, 10109171468000000, 152, 2000, 33358000
nic5:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2558923, 19490816543, 756, 222, 16425
nic5:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic5:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic5:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 615642000, 10817090420000000, 144, 2000, 44606000
nic6:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2305516, 13992150358, 756, 155, 12606
nic6:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic6:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic6:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 677841000, 14002469161000000, 158, 2000, 41542000
nic7:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 1798198, 8894081484, 756, 141, 13462
nic7:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic7:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic7:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 798481000, 29998140177000000, 163, 2000, 61374000
nic8:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 1089887, 3867254793, 756, 142, 24234
nic8:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic8:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic8:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 894898000, 40386360596000000, 165, 18000, 74670000
nic9:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2161606, 23565808596, 756, 206, 28478
nic54:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 497248, 2092301768, 252, 222, 11934
nic54:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic54:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic54:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1386820000, 166714248918000000, 75, 68000, 133242000
nic55:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 704454, 4434493420, 252, 230, 13806
nic55:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic55:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic55:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1360668000, 154607977574000000, 64, 2000, 139490000
nic56:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 549688, 2766757048, 252, 226, 14158
nic56:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic56:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic56:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1350308000, 151283702304000000, 77, 18000, 138206000
