V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,38.07184,3.9245362281799316,True,48.77384,5.479556322097778,True,47.21184,12.592642784118652,True,,1.2811001517131821,1.2400724525003257
32,6,3,96,96,67.74232,5.051208019256592,True,99.60552,9.068901777267456,True,77.18016,17.33859395980835,True,,1.4703588539630763,1.1393197044329157
50,7,4,200,200,112.61728,8.539536237716675,True,177.38904,21.1923725605011,True,112.99296,31.08997941017151,True,,1.5751493909282839,1.0033359001389486
98,11,6,588,588,239.79488,21.461958408355713,True,435.45216,93.05507302284241,True,265.02568,117.30853605270386,True,,1.8159360199850805,1.1052182598727713
128,12,6,768,768,308.7616,31.191612482070923,True,589.29088,147.33386635780334,True,342.62816,178.96245312690735,True,,1.9085627228256365,1.1096851421938478
162,13,7,1134,1134,409.19328,46.563284158706665,True,793.26312,225.35908198356628,True,409.19328,318.5880582332611,True,,1.9386025107743703,1.0
242,17,9,2178,2178,673.80448,98.22440338134766,True,1347.93704,456.33680534362793,True,746.676,977.2128777503967,True,,2.000486906824959,1.1081493551363744
338,19,10,3380,3380,925.42112,170.88735032081604,True,1946.74856,724.3586111068726,True,925.42112,2055.3415904045105,True,,2.103635326585155,1.0
512,24,12,6144,6144,,142.99580574035645,False,,0.11796903610229492,False,,0.4595375061035156,False,,,
578,25,13,7514,7514,,0.5489733219146729,False,,0.5142016410827637,False,,0.513606071472168,False,,,
722,29,15,10830,10830,,0.550055980682373,False,,0.5333938598632812,False,,0.6077990531921387,False,,,
