V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,54.00272,10.632959365844727,True,52.31696,12.729356050491333,True,54.00296,37.45703983306885,True,,0.9687837945940502,1.0000044442205875
32,6,3,96,96,96.00424,12.429821014404297,True,96.0032,15.603536128997803,True,96.00376,52.032466888427734,True,,0.9999891671451179,0.9999950002208237
50,7,4,200,200,200.008,18.291809797286987,True,200.00768,27.92194104194641,True,200.008,126.08166170120239,True,,0.9999984000639973,1.0
98,11,6,588,588,588.0236,75.61206436157227,True,586.8728,137.4619336128235,True,588.02304,870.2192950248718,True,,0.9980429356916968,0.999999047657271
128,12,6,768,768,768.02944,119.36231470108032,True,768.02792,196.0654754638672,True,,1284.5437746047974,False,,0.9999980209091984,
162,13,7,1134,1134,1134.04624,214.9174735546112,True,1134.04144,363.09416794776917,True,,2779.5072886943817,False,,0.9999957673683572,
242,17,9,2178,2178,2178.08768,515.4580647945404,True,2178.0868,851.7963407039642,True,,9751.276487827301,False,,0.9999995959758607,
