V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,83.79896,5.12300443649292,True,86.3208,6.276925086975098,True,86.40088,5.4301018714904785,True,,1.0300939295666678,1.031049550018282
32,6,3,96,96,153.60144,7.736716985702515,True,153.60512,11.188066720962524,True,153.60144,8.657878637313843,True,,1.000023958108726,1.0
50,7,4,200,200,320.0056,18.50289249420166,True,320.00992,27.085773229599,True,320.0056,22.967119932174683,True,,1.0000134997637542,1.0
98,11,6,588,588,940.81368,119.57108950614929,True,940.81184,161.77301812171936,True,940.8092,410.6513833999634,True,,0.9999980442461253,0.9999952381644791
128,12,6,768,768,1228.81112,182.8217716217041,True,1228.82656,261.51658153533936,True,1228.8244,650.5318064689636,True,,1.0000125649904599,1.0000108071938671
162,13,7,1134,1134,1814.4276,315.8814523220062,True,1814.42712,409.65606570243835,True,1814.42856,1134.0744059085846,True,,0.9999997354537596,1.0000005290924807
242,17,9,2178,2178,3484.85984,763.581680059433,True,3484.81736,982.8978822231293,True,3484.85736,3104.0627965927124,True,,0.9999878101266764,0.999999288350145
338,19,10,3380,3380,5408.0784,1453.4467279911041,True,5408.11136,1794.1943955421448,True,5408.07808,6133.450176000595,True,,1.0000060945862026,0.9999999408292601
512,24,12,6144,6144,,1594.8012120723724,False,,1444.9250528812408,False,,1688.2485630512238,False,,,
