V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
36,5,3,108,108,110.444,7.575663328170776,True,130.24368,10.509150981903076,True,134.92368,10.150979280471802,True,,1.179273477961682,1.2216478939553075
114,8,4,456,456,415.94448,58.51793837547302,True,511.22528,92.75212955474854,True,554.44376,269.69667983055115,True,,1.229070956777693,1.332975400947742
264,11,6,1584,1584,1207.93256,433.1501877307892,True,1633.6532,617.9452073574066,True,1696.08128,2285.0457348823547,True,,1.352437424155534,1.404119183607403
510,14,7,3570,3570,2763.5728,2131.0176181793213,True,3824.40392,2660.517298936844,True,,8604.11758184433,False,,1.38386219461995,
876,17,9,7884,7884,,1809.5548429489136,False,,1726.8572294712067,False,,1693.0327863693237,False,,,
