V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
36,5,3,108,108,57.00736,5.161912202835083,True,100.12904,9.087891817092896,True,91.10872,24.43505072593689,True,,1.7564230302894224,1.598192233423895
114,8,4,456,456,131.8628,19.437426328659058,True,377.10048,78.35051035881042,True,380.5084,220.15926861763,True,,2.859794271015025,2.885638709325147
264,11,6,1584,1584,535.97968,229.44560837745667,True,1264.62352,571.2870366573334,True,1154.79208,1961.997395515442,True,,2.359461687055002,2.154544515568202
510,14,7,3570,3570,574.862,1321.832010269165,True,2700.65088,2455.9941012859344,True,,6944.703889846802,False,,4.697911637923537,
876,17,9,7884,7884,,1866.1141381263733,False,,1881.815568447113,False,,1804.100005865097,False,,,
